text,date,vacancy,company,city,country,experience,employment,schedule,salary_from,salary_to,currency,skills,responsibilities,requirements,experience level,uid,position
"**Machine Learning Engineer**  

**Компания:** AIproChat  
**Зарплата:** от $20 до $30 / час (~от $3,000 до $4,800)  
**Тип занятости:** #Удаленка  
**Локация:** #Любая_страна  
**Позиция:** #Middle  

AIproChat — стартап, работающий над развитием сервиса с использованием современных подходов в машинном обучении. Команда распределённая, архитектура — микросервисная. Уделяем внимание качеству кода, тестам и CI/CD.  

**Обязанности**  
— Подготовка и очистка текстовых датасетов для обучения/тюнинга LLM  
— Fine-tuning LLM моделей под специфические задачи (чат-бот, генерация кода, анализ текстов и др.)  
— Интеграция моделей (LLaMA, Mistral, GPT-like) в продакшн  
— Оптимизация скорости отклика и размера моделей (quantization, LoRA, distillation)  
— Оценка качества модели (benchmarking, eval pipelines, human-feedback loops)  

**Требования**  
— Опыт работы с LLM (GPT, LLaMA, Falcon, Mistral и др.)  
— Уверенное владение Python и фреймворками: PyTorch, Transformers (HuggingFace), PEFT, Datasets  
— Опыт fine-tuning с LoRA, QLoRA, 8-bit/4-bit quantization  
— Знание ML Ops: логирование, метрики, CI/CD пайплайны  
— Навыки работы с большими датасетами (токенизация, шардирование, pre-processing)  
— Умение оценивать качество моделей (perplexity, BLEU, ROUGE и др.)  
— Опыт настройки open-source моделей (LLaMA, Mistral, Phi, Orca и пр.)  

**Что компания предлагает**  
— Удалённая работа из любой точки мира  
— Гибкий график в рамках 5-дневной недели  
— Конкурентная зарплата в долларах  

**Контакт для связи:** Telegram @leonety_lety  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/223  

**Стек технологий:** #Python #PyTorch #PEFT #Datasets #LLM #GPT #LLaMA #Mistral",2025-07-25T12:00:11+00:00,Machine Learning Engineer,AIproChat,,,,Удаленка,Гибкий график в рамках 5-дневной недели,3000.0,4800.0,$,"['Python', 'PyTorch', 'Transformers (HuggingFace)', 'PEFT', 'Datasets', 'LLM', 'GPT', 'LLaMA', 'Mistral']","['Подготовка и очистка текстовых датасетов для обучения/тюнинга LLM', 'Fine-tuning LLM моделей под специфические задачи (чат-бот, генерация кода, анализ текстов и др.)', 'Интеграция моделей (LLaMA, Mistral, GPT-like) в продакшн', 'Оптимизация скорости отклика и размера моделей (quantization, LoRA, distillation)', 'Оценка качества модели (benchmarking, eval pipelines, human-feedback loops)']","['Опыт работы с LLM (GPT, LLaMA, Falcon, Mistral и др.)', 'Уверенное владение Python и фреймворками: PyTorch, Transformers (HuggingFace), PEFT, Datasets', 'Опыт fine-tuning с LoRA, QLoRA, 8-bit/4-bit quantization', 'Знание ML Ops: логирование, метрики, CI/CD пайплайны', 'Навыки работы с большими датасетами (токенизация, шардирование, pre-processing)', 'Умение оценивать качество моделей (perplexity, BLEU, ROUGE и др.)', 'Опыт настройки open-source моделей (LLaMA, Mistral, Phi, Orca и пр.)']",Middle,2025-07-25T12:00:11+00:00_28,Другая IT вакансия
"**Ментор по Data Analytics**

**Компания:** AI Academy (г. Бишкек)  
**Зарплата:** 60000-90000 сом в месяц  
**Тип занятости:** #Офис  
**Локация:** #Бишкек  
**Позиция:** #Middle  

AI Academy — образовательный центр по Data Analytics, Data Science и AI. Обучаем студентов digital-профессиям и помогаем им стартовать карьеру в IT.  

**Обязанности**  
— Проведение занятий по Data Analytics  
— Объяснение сложных концепций простым языком  
— Поддержка студентов в процессе обучения  
— Взаимодействие с методистами и командой  

**Требования**  
— Опыт работы аналитиком данных от 2 лет  
— Знание: SQL, Python (Pandas, NumPy), Power BI, Tableau, Excel  
— Понимание визуализации и аналитики  
— Умение объяснять просто  
— Желание помогать и вдохновлять  
— Преподавание/менторство — плюс!  

**Что компания предлагает**  
— Удобный график (можно совмещать) (19:00-21:00 с пн-пт)  
— Оплата за каждую группу/модуль  
— Поддержка методистов и команды  
— Рост в EdTech и развитие личного бренда  

**Контакт для связи:** @biminai  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/222  

**Стек технологий:** #SQL #Python #Pandas #NumPy #PowerBI #Tableau #Excel",2025-07-25T09:18:39+00:00,Ментор по Data Analytics,AI Academy,Бишкек,,от 2 лет,Офис,19:00-21:00 с пн-пт,60000.0,90000.0,сом,"['SQL', 'Python', 'Pandas', 'NumPy', 'Power BI', 'Tableau', 'Excel']","['Проведение занятий по Data Analytics', 'Объяснение сложных концепций простым языком', 'Поддержка студентов в процессе обучения', 'Взаимодействие с методистами и командой']","['Опыт работы аналитиком данных от 2 лет', 'Знание: SQL, Python (Pandas, NumPy), Power BI, Tableau, Excel', 'Понимание визуализации и аналитики', 'Умение объяснять просто', 'Желание помогать и вдохновлять', 'Преподавание/менторство — плюс!']",Middle,2025-07-25T09:18:39+00:00_29,Аналитик
"**Младший Data Scientist**  

**Компания:** Департамент информационных технологий города Москвы (ДИТ Москвы)  
**Зарплата:** от 95 000 ₽/мес  
**Тип занятости:** #Удаленка  
**Локация:** #Москва  
**Позиция:** #Junior  

В связи с ростом продуктовой команды мы ищем младшего Data Scientist'а, готового развиваться на реальных проектах с социальной значимостью. Мы создаём цифровые продукты в сфере E-government — от сервисов, которыми ежедневно пользуются миллионы жителей, до решений для городской инфраструктуры Москвы.  

**Обязанности**  
— Анализировать данные: проводить EDA, выявлять зависимости и аномалии  
— Строить и тестировать ML-модели на реальных задачах (scikit-learn, XGBoost и др.)  
— Готовить фичи и оценивать качество моделей  
— Визуализировать результаты и готовить отчеты  
— Работать в команде с аналитиками, разработчиками и продактами  
— Поддерживать документацию по экспериментам и моделям  
— Участвовать в проработке новых кейсов на основе данных  

**Требования**  
— Базовые знания статистики, теории вероятностей и линейной алгебры  
— Уверенное владение Python (pandas, numpy, scikit-learn)  
— Умение работать с табличными данными (чистка, агрегация, фичи)  
— Опыт визуализации данных (matplotlib, seaborn, plotly)  
— Навыки написания SQL-запросов  
— Понимание базовых принципов машинного обучения  
— Плюсом будет: опыт работы с моделями классификации/регрессии, знание PyTorch/TensorFlow, понимание бизнес-метрик, опыт работы с BI-системами или MLflow  

**Что компания предлагает**  
— Удалённая работа, 8 ч в день по UTC+3  
— Гибкий график, возможность совмещать с другими проектами  
— Оформление — по договорённости  
— Небольшая команда, быстрые процессы, открытая коммуникация  
— Поддержка инициативы и роста: наставничество, ревью кода и регулярная обратная связь  

**Контакт для связи:** @HRBP_Mari  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/221  

**Стек технологий:** #Python #pandas #numpy #scikit-learn #SQL #matplotlib #seaborn #plotly #XGBoost #PyTorch #TensorFlow #MLflow",2025-07-24T14:00:05+00:00,Младший Data Scientist,Департамент информационных технологий города Москвы (ДИТ Москвы),Москва,Россия,,Удалённая работа,Гибкий график,95000.0,,₽,"['Python', 'pandas', 'numpy', 'scikit-learn', 'SQL', 'matplotlib', 'seaborn', 'plotly', 'XGBoost', 'PyTorch', 'TensorFlow', 'MLflow']","['Анализировать данные: проводить EDA, выявлять зависимости и аномалии', 'Строить и тестировать ML-модели на реальных задачах (scikit-learn, XGBoost и др.)', 'Готовить фичи и оценивать качество моделей', 'Визуализировать результаты и готовить отчеты', 'Работать в команде с аналитиками, разработчиками и продактами', 'Поддерживать документацию по экспериментам и моделям', 'Участвовать в проработке новых кейсов на основе данных']","['Базовые знания статистики, теории вероятностей и линейной алгебры', 'Уверенное владение Python (pandas, numpy, scikit-learn)', 'Умение работать с табличными данными (чистка, агрегация, фичи)', 'Опыт визуализации данных (matplotlib, seaborn, plotly)', 'Навыки написания SQL-запросов', 'Понимание базовых принципов машинного обучения', 'Плюсом будет: опыт работы с моделями классификации/регрессии, знание PyTorch/TensorFlow, понимание бизнес-метрик, опыт работы с BI-системами или MLflow']",Junior,2025-07-24T14:00:05+00:00_30,Дата-сайентист
"**ML Engineer**  

**Компания:** FinTech компания (Узбекистан, Таджикистан, Пакистан)  
**Зарплата:** по договоренности  
**Тип занятости:** #Гибрид  
**Локация:** #Ташкент  
**Позиция:** #Middle #Senior  

Быстроразвивающаяся FinTech компания, предоставляющая финансовые услуги, разрабатывающая собственное ПО и работающая над блокчейн-проектами, ищет ML Engineer для развития банковской сферы.  

**Обязанности**  
— Продуктивизация ML-моделей, разработка backend-сервисов и ETL-процессов  
— Развертывание моделей в Kubernetes-кластере, настройка мониторинга, логгирования и алертинга  
— Разработка и поддержка backend чатбота  
— Внедрение генеративных AI-моделей в производственные процессы компании  

**Требования**  
— Владение Python, SQL, умение писать чистый код  
— Опыт командной разработки (git, документация)  
— Знание алгоритмов классического ML  
— Владение русским и английским языками  
— Опыт работы в data science  
— Опыт продуктивизации ML-моделей, разработки микросервисов и ETL-процессов  
**Будет плюсом:**  
— Опыт работы с Kubernetes, Airflow, ClickHouse, Grafana, Sentry, OpenSearch  

**Что компания предлагает**  
— Гибридный формат работы в Ташкенте  
— Помощь в релокации  
— Возможности для профессионального роста  
— Бесплатное обучение: конференции, митапы, хакатоны, курсы  
— Корпоративные мероприятия  
— Скидки на спортзалы  
— Уроки английского с носителями  
— Индивидуальный план адаптации  
— 28 дней отпуска в году  
— Комфортабельный офис с зонами отдыха (Ташкент сити)  

**Контакт для связи:** @spetrushkin (Telegram)  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/220  

**Стек технологий:** #Python #SQL #Kubernetes #Airflow #ClickHouse #Grafana #Sentry #OpenSearch #ML #GenerativeAI",2025-07-24T12:00:15+00:00,ML Engineer,FinTech компания,Ташкент,Узбекистан,,Гибрид,,,,,"['Python', 'SQL', 'Kubernetes', 'Airflow', 'ClickHouse', 'Grafana', 'Sentry', 'OpenSearch', 'ML', 'GenerativeAI']","['Продуктивизация ML-моделей, разработка backend-сервисов и ETL-процессов', 'Развертывание моделей в Kubernetes-кластере, настройка мониторинга, логгирования и алертинга', 'Разработка и поддержка backend чатбота', 'Внедрение генеративных AI-моделей в производственные процессы компании']","['Владение Python, SQL, умение писать чистый код', 'Опыт командной разработки (git, документация)', 'Знание алгоритмов классического ML', 'Владение русским и английским языками', 'Опыт работы в data science', 'Опыт продуктивизации ML-моделей, разработки микросервисов и ETL-процессов']","['Middle', 'Senior']",2025-07-24T12:00:15+00:00_31,Другая IT вакансия
"**ML Engineer в команду рекомендаций**  

**Компания:** Магнит OMNI, Команда рекомендаций  
**Зарплата:** 300-460k гросс (возможность расширить вилку для сильных кандидатов)  
**Тип занятости:** #Удаленка #Офис  
**Локация:** #Москва #Краснодар #Иннополис #СПБ #ЕКБ  
**Позиция:** #Middle #Senior  

Мы команда ML рекомендаций Магнит Омни (Магнит Маркет, Фудтех, Плюс, AdTech). Ищем коллегу, который поможет нам сделать наши рекомендации ещё лучше, усилив команду своей экспертизой в области рекомендательных систем. Рекомендательные алгоритмы в компании активно развиваются — у тебя есть шанс внести реальный вклад в это развитие и увидеть, как твои решения влияют на миллионы наших клиентов.  

**Обязанности**  
— Разработка алгоритмов рекомендаций для разных сценариев (персональные рекомендации, карточка товара, корзина, подборки).  
— Разработка и внедрение новых признаков для контентных моделей.  
— Постановка гипотез для A/B-тестов.  
— Анализ результатов экспериментов и формулирование рекомендаций.  
— Сотрудничество со смежными командами разработки и аналитики.  

**Требования**  
— Опыт работы с рекомендательными системами от года.  
— Знание Python и SQL/PySpark.  
— Знание SOTA-алгоритмов, метрик и проблем рекомендательных моделей.  
— Разработка ML-пайплайнов в Airflow.  

**Будет плюсом**  
— Опыт разработки нейросетевых рекомендательных алгоритмов.  
— Реализация решений из академических статей.  
— Опыт в e-commerce.  
— Проведение успешных A/B-тестов.  

**Что компания предлагает**  
— Минимум бюрократии и встреч.  
— ДМС со стоматологией и льготными условиями для семьи.  
— Техника (Macbook Pro).  
— Скидки PrimeZone (6000+ предложений).  
— Кэшбек в магазинах Магнит.  

**Контакт для связи:** @mle_magnit (Telegram, с пометкой «ML инженер в команду рекомендаций» и зарплатными ожиданиями)  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/219  

**Стек технологий:** #Python #SQL #PySpark #Airflow #Clickhouse #GreenPlum #Trino #Polars #Pandas",2025-07-24T09:00:05+00:00,ML Engineer в команду рекомендаций,"Магнит OMNI, Команда рекомендаций","['Москва', 'Краснодар', 'Иннополис', 'СПБ', 'ЕКБ']",Россия,,"['Удаленка', 'Офис']",,300000.0,460000.0,гросс,"['Python', 'SQL', 'PySpark', 'Airflow', 'Clickhouse', 'GreenPlum', 'Trino', 'Polars', 'Pandas']","['Разработка алгоритмов рекомендаций для разных сценариев (персональные рекомендации, карточка товара, корзина, подборки).', 'Разработка и внедрение новых признаков для контентных моделей.', 'Постановка гипотез для A/B-тестов.', 'Анализ результатов экспериментов и формулирование рекомендаций.', 'Сотрудничество со смежными командами разработки и аналитики.']","['Опыт работы с рекомендательными системами от года.', 'Знание Python и SQL/PySpark.', 'Знание SOTA-алгоритмов, метрик и проблем рекомендательных моделей.', 'Разработка ML-пайплайнов в Airflow.']","['Middle', 'Senior']",2025-07-24T09:00:05+00:00_32,Другая IT вакансия
"**Data Analyst**

**Компания:** Крупная финтех-компания  
**Зарплата:** от 3000$  
**Тип занятости:** #Офис #Гибрид  
**Локация:** #Ташкент  
**Позиция:** #Middle  

Крупная финтех-компания ищет Data Analyst. Мы развиваем мультифункциональную платформу, объединяющую финансовые, сервисные и бизнес-решения, которыми пользуются свыше 20 миллионов человек.  

**Обязанности**  
— Исследование и анализ внутренних и внешних источников данных.  
— Управление требованиями к пользовательским витринам данных (сбор, анализ, актуализация).  
— Разработка и оптимизация скриптов для сбора витрин данных.  
— Создание пользовательских дашбордов в BI (управленческая отчетность, продуктовые метрики).  
— Взаимодействие с заказчиками и командой Data Engineers/Data Scientists.  
— Проверка гипотез (продуктовые, антифрод).  
— Проектирование логической модели базы данных (ERD).  
— Развитие аналитических инструментов (BI) и self-service пользовательских витрин.  

**Требования**  
— Отличные знания SQL для написания сложных и производительных запросов (CTE, оконные функции).  
— Опыт работы с инструментами BI: PowerBI, Tableau, Apache Superset.  
— Опыт работы с СУБД: MS SQL, ClickHouse, PostgreSQL.  
— Знание Python для анализа данных (pandas, numpy).  
— Опыт работы со стеком Big Data: HiveQL, Hadoop, Spark SQL, Apache AirFlow.  
— Понимание принципов построения системных интеграций.  
— Знание основ математической статистики.  

**Что компания предлагает**  
— Конкурентную заработную плату.  
— Работу в офисе в Ташкенте или гибридный формат по договоренности.  
— Постоянное обучение и профессиональный рост.  
— Фитнес-зал, массажные кресла и спортивные клубы по интересам в офисе.  
— Яркая корпоративная культура и кафетерий бенефитов.  

**Контакт для связи:** @haas_mari  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/218  

**Стек технологий:** #SQL #PowerBI #Tableau #Python #PostgreSQL #Hadoop #SparkSQL #AirFlow",2025-07-24T06:00:02+00:00,Data Analyst,Крупная финтех-компания,Ташкент,,,"['Офис', 'Гибрид']",,3000.0,,$,"['SQL', 'PowerBI', 'Tableau', 'Python', 'PostgreSQL', 'Hadoop', 'SparkSQL', 'AirFlow']","['Исследование и анализ внутренних и внешних источников данных.', 'Управление требованиями к пользовательским витринам данных (сбор, анализ, актуализация).', 'Разработка и оптимизация скриптов для сбора витрин данных.', 'Создание пользовательских дашбордов в BI (управленческая отчетность, продуктовые метрики).', 'Взаимодействие с заказчиками и командой Data Engineers/Data Scientists.', 'Проверка гипотез (продуктовые, антифрод).', 'Проектирование логической модели базы данных (ERD).', 'Развитие аналитических инструментов (BI) и self-service пользовательских витрин.']","['Отличные знания SQL для написания сложных и производительных запросов (CTE, оконные функции).', 'Опыт работы с инструментами BI: PowerBI, Tableau, Apache Superset.', 'Опыт работы с СУБД: MS SQL, ClickHouse, PostgreSQL.', 'Знание Python для анализа данных (pandas, numpy).', 'Опыт работы со стеком Big Data: HiveQL, Hadoop, Spark SQL, Apache AirFlow.', 'Понимание принципов построения системных интеграций.', 'Знание основ математической статистики.']",Middle,2025-07-24T06:00:02+00:00_33,"BI-аналитик, аналитик данных"
"**Senior ML/ Software Engineer**

**Компания:** HighSky  
**Зарплата:** от 5 000 до 8 000 $  
**Тип занятости:** #Удаленка  
**Локация:** #Удалённо  
**Позиция:** #Senior  

HighSky — быстрорастущий стартап на стыке разработки и ML. Работаем над генерацией текста, аудио, видео, обогащением данных (из соцсетей, видеохостингов и т.д.), а также задачами, связанными с блокчейном.  

**Обязанности**  
— Разрабатывать инфраструктурные решения для AI-команд: библиотеки, шаблоны и внутренние сервисы  
— Проектировать и оптимизировать высоконагруженные сервисы для продакшен-развертывания ML-моделей  
— Поддерживать ML-инженеров с backend-задачами и интеграцией внешних решений  
— Работать с реляционными и NoSQL-БД, выбирать подходящие под задачу  
— Адаптировать и внедрять open-source решения  

**Требования**  
— Отличное знание Python, опыт работы с микросервисами  
— 4+ лет на Python  
— Опыт работы с высоконагруженными системами  
— Понимание System Design, опыт с брокерами сообщений и балансировкой нагрузки  
— Уверенное знание SQL, опыт с реляционными и NoSQL-СУБД  
— Опыт работы с ML  
— Профильное высшее образование ❗️  
— Английский на уровне B2+  

**Что компания предлагает**  
— Участие в разработке реальных продуктов с живым трафиком  
— Зарплата $5000–9000 в зависимости от результатов собеседования  
— Честную, открытую культуру без бюрократии  
— Полностью удалённую работу и гибкий график  
— Аналог ДМС  
— Компенсация за улучшение техники / спортзал / хобби  
— Приятные подарки на праздники  

**Контакт для связи:** @dybovanya  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/217  

**Стек технологий:** #Python #NoSQL #SystemDesign #ML",2025-07-23T14:00:01+00:00,Senior ML/ Software Engineer,HighSky,,,4+ лет на Python,Удаленка,Гибкий график,5000.0,9000.0,$,"['Python', 'микросервисы', 'высоконагруженные системы', 'System Design', 'брокеры сообщений', 'балансировка нагрузки', 'SQL', 'реляционные СУБД', 'NoSQL-СУБД', 'ML']","['Разрабатывать инфраструктурные решения для AI-команд: библиотеки, шаблоны и внутренние сервисы', 'Проектировать и оптимизировать высоконагруженные сервисы для продакшен-развертывания ML-моделей', 'Поддерживать ML-инженеров с backend-задачами и интеграцией внешних решений', 'Работать с реляционными и NoSQL-БД, выбирать подходящие под задачу', 'Адаптировать и внедрять open-source решения']","['Отличное знание Python, опыт работы с микросервисами', '4+ лет на Python', 'Опыт работы с высоконагруженными системами', 'Понимание System Design, опыт с брокерами сообщений и балансировкой нагрузки', 'Уверенное знание SQL, опыт с реляционными и NoSQL-СУБД', 'Опыт работы с ML', 'Профильное высшее образование', 'Английский на уровне B2+']",Senior,2025-07-23T14:00:01+00:00_34,"Программист, разработчик"
"**Chief Data Officer**  

**Компания:** Social Discovery Group  
**Зарплата:** $5001–10000 gross  
**Тип занятости:** #Удаленка  
**Локация:** #Europe #Balkans  
**Позиция:** #Senior  

Social Discovery Group — the world’s 3rd largest social discovery company (60+ products, 500M users).  

**Обязанности**  
— Lead analytics, data engineering, ML, and UX research teams  
— Oversee product analytics and experimentation  
— Drive data-informed decision-making across the Core Business unit  

**Требования**  
— 5+ years of C-level managerial experience  
— Applied knowledge of statistics and probability theory  
— Experience in experimental design and hypothesis testing  
— Understanding of digital marketing & unit economics  
— Strong SQL and database knowledge  
— Basics of machine learning & UX research  
— BI tools proficiency and data self-service mindset  

**Что компания предлагает**  
— Remote full-time position  
— 28 vacation days + 7 wellness days  
— $1K/year health benefits  
— Annual training & conference budget  
— Coworking or home office support  
— Internal bonus & gratitude system  
— Great Place to Work US Certified (Aug 2024)  

**Контакт для связи:** @taborau  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/216  

**Стек технологий:** #SQL #MachineLearning #BI #DataEngineering #UXResearch",2025-07-23T12:00:05+00:00,Chief Data Officer,Social Discovery Group,,"Europe, Balkans",5+ years,Удаленка,,5001.0,10000.0,$,"['SQL', 'Machine Learning', 'BI', 'Data Engineering', 'UX Research']","['Lead analytics, data engineering, ML, and UX research teams', 'Oversee product analytics and experimentation', 'Drive data-informed decision-making across the Core Business unit']","['5+ years of C-level managerial experience', 'Applied knowledge of statistics and probability theory', 'Experience in experimental design and hypothesis testing', 'Understanding of digital marketing & unit economics', 'Strong SQL and database knowledge', 'Basics of machine learning & UX research', 'BI tools proficiency and data self-service mindset']",Senior,2025-07-23T12:00:05+00:00_35,Директор по информационным технологиям (CIO)
"**Prompt Engineer в опытную команду IT, которая создает экосистему современных цифровых продуктов.**  

**Компания:** [Название компании]  
**Зарплата:** обсуждается, соцпакет  
**Тип занятости:** #Удаленка #Офис #Гибрид  
**Локация:** #Москва #Краснодар #Иннополис  
**Позиция:** #Middle #Senior  

Компания рассматривает кандидатов только из России.  

**Обязанности**  
— Подбор и тестирование промптов для больших языковых моделей (LLM);  
— Настройка поведения модели через примеры, инструкции и контекст;  
— Проверка качества ответов: вручную и через метрики;  
— Улучшение промптов на основе фидбэка и логов;  
— Сбор и подготовка примеров запросов от пользователей;  
— Работа с командой разработчиков и аналитиков для внедрения LLM в продукт;  
— Участие в экспериментах и сравнении разных подходов;  
— Ведение базы удачных промптов и шаблонов (на русском и английском).  

**Требования**  
— Опыт работы Prompt Engineer от 1,5 лет;  
— Опыт настройки LLM для прикладных задач: Chatbots & Virtual Assistants, Text Summarization, Sentiment Analysis;  
— Проработка промптов для мультимодальных моделей: Visual Question Answering, Image Captioning;  
— Создание цепочек промптов для задач перевода (Machine Translation) и генерации ответов;  
— Адаптация поведения модели под задачу без fine-tuning: через контекст, примеры и системные инструкции;  
— Работа с zero-/few-shot промптами, chain-of-thought и ролью system-промптов;  
— Анализ ошибок модели и оптимизация промптов под метрики качества или UX-фидбэк;  
— Настройка LLM-пайплайнов для мультиязычных сценариев (английский, русский и др.).  

**Что компания предлагает**  
— [Преимущество 1]  
— [Преимущество 2]  
— [Преимущество 3]  

**Контакт для связи:** @fr_rec  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/215  

**Стек технологий:** #Python #OpenAI API #HuggingFace Transformers #Jupyter #Colab #LangChain #PromptLayer #Git",2025-07-23T09:00:08+00:00,Prompt Engineer,[Название компании],"['Москва', 'Краснодар', 'Иннополис']",Россия,"от 1,5 лет","['Удаленка', 'Офис', 'Гибрид']",,,,,"['Python', 'OpenAI API', 'HuggingFace Transformers', 'Jupyter', 'Colab', 'LangChain', 'PromptLayer', 'Git']","['Подбор и тестирование промптов для больших языковых моделей (LLM)', 'Настройка поведения модели через примеры, инструкции и контекст', 'Проверка качества ответов: вручную и через метрики', 'Улучшение промптов на основе фидбэка и логов', 'Сбор и подготовка примеров запросов от пользователей', 'Работа с командой разработчиков и аналитиков для внедрения LLM в продукт', 'Участие в экспериментах и сравнении разных подходов', 'Ведение базы удачных промптов и шаблонов (на русском и английском)']","['Опыт работы Prompt Engineer от 1,5 лет', 'Опыт настройки LLM для прикладных задач: Chatbots & Virtual Assistants, Text Summarization, Sentiment Analysis', 'Проработка промптов для мультимодальных моделей: Visual Question Answering, Image Captioning', 'Создание цепочек промптов для задач перевода (Machine Translation) и генерации ответов', 'Адаптация поведения модели под задачу без fine-tuning: через контекст, примеры и системные инструкции', 'Работа с zero-/few-shot промптами, chain-of-thought и ролью system-промптов', 'Анализ ошибок модели и оптимизация промптов под метрики качества или UX-фидбэк', 'Настройка LLM-пайплайнов для мультиязычных сценариев (английский, русский и др.)']","['Middle', 'Senior']",2025-07-23T09:00:08+00:00_36,Другая IT вакансия
"**Mathematician Analyst/Data Scientist**

**Компания:** Tribe  
**Зарплата:** от 1 500 до 3 000 €  
**Тип занятости:** #Удаленка  
**Локация:** #Удалённо  
**Позиция:** #Middle  

Разработка и проверка математических моделей игр в одной из топ-10 iGaming компаний мира.  

**Обязанности**  
— Разработка и проверка математических моделей  
— Формализация задач в математических терминах  
— Решение нестандартных задач, объединяющих различные математические области  

**Требования**  
— Опыт работы с математическими моделями от 2-х лет  
— Уверенные знания теории вероятностей, статистики и оптимизационного моделирования  
— Умение формализовать задачи математически  
— Знание Python (предпочтительно)  
— Хорошие софт-скиллы, чувство юмора, дружелюбие  

**Что компания предлагает**  
— Годовой бонус в размере оклада  
— Полностью удаленная работа  
— Оплачиваемый отпуск и больничные  
— Гибкие условия оформления (ТК, крипта, ИП)  
— Оплата конференций и выставок  
— Сложные задачи и возможности для роста  

**Контакт для связи:** @DzmitryS6  

**⚠️ Для удобства указывайте ссылку на вакансию**  
Ссылка: https://t.me/it_match_ml_ds/214  

**Стек технологий:** #Python #ТеорияВероятностей #Статистика #Оптимизация",2025-07-22T12:00:14+00:00,Mathematician Analyst/Data Scientist,Tribe,,,от 2-х лет,Удаленка,,1500.0,3000.0,€,"['Python', 'ТеорияВероятностей', 'Статистика', 'Оптимизация']","['Разработка и проверка математических моделей', 'Формализация задач в математических терминах', 'Решение нестандартных задач, объединяющих различные математические области']","['Опыт работы с математическими моделями от 2-х лет', 'Уверенные знания теории вероятностей, статистики и оптимизационного моделирования', 'Умение формализовать задачи математически', 'Знание Python (предпочтительно)', 'Хорошие софт-скиллы, чувство юмора, дружелюбие']",Middle,2025-07-22T12:00:14+00:00_37,Дата-сайентист
