vacancy,company,city,country,employment,schedule,salary from,salary to,period of pay,currency,skills,text,url,date,level,requirements,responsibilities,position,education,benefits
Рекрутер,Talent Diggers,РФ,,Удаленная работа,Удаленная работа,50000.0,200000.0,,₽,"['рекрутинг', 'сорсинг', 'HR-скрининг', 'CRM']","Описание вакансии Формат:  Полностью удаленная работа | Полный рабочий день Мы — рекрутинговое агентство, специализирующееся на вакансиях в финтех-сфере (IT и менеджмент). Что предстоит делать: 🔹 Полный цикл подбора: от сорсинга кандидатов и проведения интервью до выхода на работу и финальных чеков. 🔹 Проведение HR-скрининга, организация и координация технических интервью. 🔹 Сорсинг на различных платформах (LinkedIn, Telegram, Twitter и др.). 🔹 Формирование профиля кандидатов для занесения в CRM. Что мы ожидаем: 🔹 Опыт в рекрутинге от 1 года. 🔹 Опыт работы в рекрутинговом агентстве или активного хантинга в рамках компании. 🔹 Опыт в финтех на европейском / американском / азиатском рынке и найма сотрудников для зарубежных платёжных систем.  🔹 Опыт найма для igaming индустрии и понимание специфики этой сферы. 🔹 Самостоятельность, коммуникабельность и проактивность. Мы предлагаем: 🔹 Фиксированная зарплата + комиссия от закрытых вакансий. 🔹 100% удаленная работа. 🔹 Быстрая и эффективная коммуникация в команде. 🔹 Возможность профессионального роста и развития в динамичной сфере.",https://geekjob.ru/vacancy/6836d2a3e3d33891550c5122,28 мая,Миддл,"['Опыт в рекрутинге от 1 года', 'Опыт работы в рекрутинговом агентстве или активного хантинга в рамках компании', 'Опыт в финтех на европейском / американском / азиатском рынке и найма сотрудников для зарубежных платёжных систем', 'Опыт найма для igaming индустрии и понимание специфики этой сферы']","['Полный цикл подбора: от сорсинга кандидатов и проведения интервью до выхода на работу и финальных чеков', 'Проведение HR-скрининга, организация и координация технических интервью', 'Сорсинг на различных платформах (LinkedIn, Telegram, Twitter и др.)', 'Формирование профиля кандидатов для занесения в CRM']",Системный аналитик,,
Sales Manager,MaxLine,Минск,Беларусь,Удаленная работа,Удаленная работа,,,,₽,"['iGaming', 'Betting', 'CRM', 'английский']","Описание вакансии Привет!🫰 Мы в MaxLine ищем  Sales Manager  с опытом в iGaming / Gambling / Betting, чтобы усиливать продажи нашей платформы и B2B-сервисов. 📍 Удалённо | Гибкий график   💡 Чем предстоит заниматься: • Продавать платформу и игровые сервисы • Привлекать новых клиентов и партнёров (B2B) • Проводить презентации, демо, сопровождать сделки • Вести базу в CRM и взаимодействовать с продуктовой командой   📌 Что важно: • Опыт в B2B-продажах в сфере iGaming / Betting обязателен • Английский от B2 — свободное общение с клиентами • Умение вести переговоры и самостоятельно закрывать сделки • Ответственность, активность и фокус на результат   🎯 Что предлагаем: • Фикс + % от продаж, без ограничений • Удалённую работу и гибкий график • Компенсацию спорта, обучения и английского • Корпоративы, мероприятия, подарки и выезды",https://geekjob.ru/vacancy/6836d1b130de35eadd055f07,28 мая,Сеньор,"['Опыт в B2B-продажах в сфере iGaming / Betting обязателен', 'Английский от B2 — свободное общение с клиентами', 'Умение вести переговоры и самостоятельно закрывать сделки']","['Продавать платформу и игровые сервисы', 'Привлекать новых клиентов и партнёров (B2B)', 'Проводить презентации, демо, сопровождать сделки', 'Вести базу в CRM и взаимодействовать с продуктовой командой']",Тестировщик,,
Разработчик MS Dynamics Nav,Dex,Новосибирск,Россия,Удаленная работа,Удаленная работа,,,,,"['C/AL', 'Transact SQL', 'MS Dynamics NAV', 'Agile', 'C++']","Описание вакансии О компании: С 2006 года Dex зарекомендовала себя как инновационный лидер в области мобильных и веб-технологий. Мы предлагаем уникальную модель работы, сочетая в себе аутсорсинг и аутстаффинг, что позволяет нашим сотрудникам работать над разнообразными проектами и задачами. Это подход способствует не только техническому росту, но и развитию умения адаптироваться к различным рабочим средам и культурам. Наши партнерства с ведущими игроками рынка, такими как Спартак, Сбербанк, Газпром и Nokia, открывают перед нашей командой возможности для профессионального развития и участия в проектах мирового уровня. Наша команда: В Dex работает более 200 профессионалов, которые не только воплощают в жизнь инновационные проекты, но и постоянно совершенствуются, обмениваясь знаниями и опытом в рамках нашей корпоративной Академии и IT-сообщества. О проекте: В компании заказчика используется ERP-система MS Dynamics NAV 2009 Classic с максимальным набором модулей, адаптированная под работу с большими объёмами данных. Система интегрирована с внешними платформами: интернет-магазинами, аналитическими сервисами, системами маршрутизации и другими. В настоящее время реализуются два ключевых проекта по миграции на MS Dynamics NAV 2018 — для направлений производства и WMS (складская логистика). В планах компании — масштабное развитие и модернизация ERP-системы, включая автоматизацию новых бизнес-процессов и расширение интеграционного контура. Обязанности: Оценивать и анализировать требования на разработку Доработка стандартной и разработка новой функциональности Участвовать в проектах интеграции MS Dynamics NAV c другими системами Сопровождать существующую функциональность Активно участвовать в жизни Agile-команд Требования: Широкий технический кругозор Хорошее знание C/AL Опыт работы с модулями MS Dynamics NAV: Финансы, Бухгалтерия, Товарный учет, WMS, LS Retail Знание Transact SQL Будет плюсом: Высшее техническое образование Опыт разработки компонентов для MS Dynamics NAV на C++ или C# Опыт интеграции MS Dynamics NAV со внешними системами: Oracle BI, Hyperion, QlikView, IBM DemandTec, SET Retail Знание и опыт работы с версиями MS Dynamics NAV 2013 и выше Мы предлагаем: Полный социальный пакет и страхование; ДМС; Оплачиваемая реферальна программа Гибкий график и удаленную работу; Оплата абонемента на ваш выбор; Персональное обучение и развитие в рамках Академии Dex; Корпоративные мероприятия и поддержка в профессиональном росте.",https://geekjob.ru/vacancy/6836d12f5f91b129770044e7,28 мая,Миддл • Сеньор,"['Широкий технический кругозор', 'Хорошее знание C/AL', 'Опыт работы с модулями MS Dynamics NAV: Финансы, Бухгалтерия, Товарный учет, WMS, LS Retail', 'Знание Transact SQL']","['Оценивать и анализировать требования на разработку', 'Доработка стандартной и разработка новой функциональности', 'Участвовать в проектах интеграции MS Dynamics NAV c другими системами', 'Сопровождать существующую функциональность', 'Активно участвовать в жизни Agile-команд']","Программист, разработчик",,
QA Engineer,Cryptopay,London,United Kingdom,Удаленная работа,Удаленная работа,,,,,"['SDLC', 'REST', 'SQL', 'API testing', 'CI/CD']","Описание вакансии We're looking for a skilled  QA Engineer  to join our team and help build a modern fintech platform from the ground up. This is a great opportunity to work on technically interesting challenges in a fast-growing and high-impact domain. Responsibilities Create and maintain test plans based on specifications and acceptance criteria Develop and execute manual and automated test suites (UI, API, backend) Identify, log, track, and verify bugs through resolution Manage and maintain relevant test data and environments Work closely with the team to clarify requirements, align on expectations, and support smooth delivery Contribute to improving QA processes and overall product quality Requirements 3+ years of experience as a QA Engineer Experience with fintech products or financial systems is a strong advantage Solid understanding of SDLC and release workflows Knowledge of various testing types: unit, integration, system, regression, performance, security Ability to prioritize and apply risk-based testing approaches Familiarity with defect taxonomy and severity/priority classification Good understanding of HTTP, REST, and web protocols Basic SQL skills and understanding of data models Hands-on experience with API testing tools (e.g., Postman, REST-assured, Swagger) Experience working with CI/CD pipelines and version control systems Strong defect analysis and debugging skills Ability to write simple scripts or SQL for test data setup Attention to detail and clear, structured communication Proactive, collaborative team player with a quality-first mindset Conditions Work in a remote mode in EU working hours Strong team of professionals and growth opportunities within the company Effective management that listens actively and uses data-driven approach to guide decisions Comfortable working conditions. This vacancy is for candidates residing outside the Russian Federation and the Republic of Belarus.",https://geekjob.ru/vacancy/6836cdb2111753ffba098244,28 мая,Миддл • Сеньор,"['3+ years of experience as a QA Engineer', 'Experience with fintech products or financial systems is a strong advantage', 'Solid understanding of SDLC and release workflows', 'Knowledge of various testing types: unit, integration, system, regression, performance, security', 'Ability to prioritize and apply risk-based testing approaches', 'Familiarity with defect taxonomy and severity/priority classification', 'Good understanding of HTTP, REST, and web protocols', 'Basic SQL skills and understanding of data models', 'Hands-on experience with API testing tools (e.g., Postman, REST-assured, Swagger)', 'Experience working with CI/CD pipelines and version control systems', 'Strong defect analysis and debugging skills', 'Ability to write simple scripts or SQL for test data setup', 'Attention to detail and clear, structured communication', 'Proactive, collaborative team player with a quality-first mindset']","['Create and maintain test plans based on specifications and acceptance criteria', 'Develop and execute manual and automated test suites (UI, API, backend)', 'Identify, log, track, and verify bugs through resolution', 'Manage and maintain relevant test data and environments', 'Work closely with the team to clarify requirements, align on expectations, and support smooth delivery', 'Contribute to improving QA processes and overall product quality']","Программист, разработчик",,
Senior Backend Engineers,Termius,Barcelona,Spain,Работа в офисе,Офис,,,,,"['Python', 'RESTful APIs', 'AWS', 'GCP', 'Kubernetes']","Описание вакансии Termius  is a modern SSH client built for collaboration and productivity. It organizes infrastructure knowledge and helps troubleshoot incidents quickly to reduce costly downtime. Today, our customers include over 30,000 companies, and millions of engineers use Termius to connect to their remote servers. While AI has transformed modern IDEs, a terminal stays the same inefficient technology since the 1970s. As a leading cross-platform SSH client, our mission is to boost productivity and foster collaboration by rebuilding the Terminal for the modern era. We are actively growing and seeking for a  Senior Backend Engineers  to complement our team and help us make Termius the primary work instrument for many engineers worldwide in their daily routines. Why Join Termius: Your contributions will directly influence the experience of millions of engineers and shape the future of system management tools. The speed and quality of decision-making depend on the accessibility of information. We aim for full transparency in all our actions. We share and ask for the candid feedback needed to become great. We build for system engineers and aim to make complex things feel simple and visually appealing. Be part of a culture that values proactiveness, a fail-fast-learn-fast approach, and a strong sense of ownership. Your work will include: Participation in the entire application development lifecycle. Collaboration between different departments: design, dev, QA across multiple time zones. Design, develop, and implement robust backend services using strong engineering principles. Collaborate with frontend engineers and product managers to translate user needs into technical solutions. Optimize existing systems for performance, reliability, scalability, and security. Participate in code reviews and ensure high code quality throughout the codebase. Automate tasks and implement CI/CD pipelines to streamline development workflows. Troubleshoot and debug complex backend issues. Stay up-to-date with the latest backend technologies and trends. Requirements: 5+ years of experience as a backend engineer. Strong proficiency in Python. Experience with relational databases (e.g., MySQL, PostgreSQL). Experience with building RESTful APIs. Experience with cloud platforms (e.g., AWS, GCP, Azure, Kubernetes). Experience with Docker. Solid understanding of system design principles (e.g., scalability, security). Experience with version control systems (e.g.,Git). Ability to work independently and as part of a cross-functional team. English skills (both written and verbal) Optional but welcomed skills: Experience with SSH protocol and network engineering. What do we offer: We provide employees with the necessary equipment to create a productive work environment. Longevity benefits: paid vacation, sick leaves, and flexible timeoff. A culture that encourages proactiveness, a fail-fast-learn-fast approach, and a sense of ownership. You can apply directly through our Lever form using this link:  https://jobs.lever.co/Termius/2af70998-3d68-4aae-94c5-82274eaff54a",https://geekjob.ru/vacancy/681b1e4e2aad46503005f2aa,4 июня,Сеньор,"['5+ years of experience as a backend engineer', 'Strong proficiency in Python', 'Experience with relational databases (e.g., MySQL, PostgreSQL)', 'Experience with building RESTful APIs', 'Experience with cloud platforms (e.g., AWS, GCP, Azure, Kubernetes)', 'Experience with Docker', 'Solid understanding of system design principles (e.g., scalability, security)', 'Experience with version control systems (e.g., Git)', 'Ability to work independently and as part of a cross-functional team', 'English skills (both written and verbal)']","['Participation in the entire application development lifecycle', 'Collaboration between different departments: design, dev, QA across multiple time zones', 'Design, develop, and implement robust backend services using strong engineering principles', 'Collaborate with frontend engineers and product managers to translate user needs into technical solutions', 'Optimize existing systems for performance, reliability, scalability, and security', 'Participate in code reviews and ensure high code quality throughout the codebase', 'Automate tasks and implement CI/CD pipelines to streamline development workflows', 'Troubleshoot and debug complex backend issues', 'Stay up-to-date with the latest backend technologies and trends']","Программист, разработчик",,
ML Team Lead,NEWHR,Москва,Россия,Удаленная работа,Удаленная работа,,,,,"['Python', 'SQL', 'Git', 'Docker', 'CI/CD']","Описание вакансии О компании и вакансии: Одна из крупнейших технологичных компаний в сфере финансов с миллионами клиентов и широкой продуктовой линейкой ищет ML Team Lead в команду, развивающую интеллектуальных ассистентов. Мы создаём AI-решения, которые автоматизируют клиентские процессы и улучшают пользовательский опыт: чат-боты, голосовые и текстовые ассистенты, системы вопрос-ответ, суммаризацию, семантический поиск. Активно внедряем LLM и развиваем ML-инфраструктура. В этой роли предстоит совмещать hands-on разработку с управлением: от стратегии и архитектуры до планирования и ревью, направляя развитие ML-команды. Основной фокус — NLP, но приветствуется опыт в широком спектре задач ML. Чем предстоит заниматься:  Разрабатывать ML-решения в задачах поиска, классификации, суммаризации, Q&A и диалоговых систем. Определять стратегию развития ML-функции и участвовать в её реализации на всех уровнях — от архитектуры до кода. Совместно с продактом формировать цели, приоритеты и направления работы. Управлять ML-командой: ставить задачи, планировать работу, контролировать сроки, проводить ревью. Проектировать архитектуру ML-систем и участвовать в код-ревью. Развивать инженерную культуру и подходы, основанные на данных, в команде и на стыке с другими функциями. Кого мы ищем: 4+ года опыта в ML (NLP, Data Science, MLE), включая лидерство в команде от 3 человек. Практический опыт вывода в продакшн NLP/LLM решений и их последующей поддержки. Уверенное владение Python и опыт промышленной разработки. Знание SQL, Git, Docker; опыт командной разработки и CI/CD процессов. Умение разворачивать ML-модели в виде микросервисов. Опыт проектирования ML-систем под бизнес-задачи. Навыки эффективной коммуникации: умеете объяснять сложное простым языком, планировать эксперименты и взаимодействовать с бизнесом и разработкой. Будет плюсом: PySpark, Airflow, Hadoop, Redis, RabbitMQ, Kubernetes. Что мы предлагаем: Официальное трудоустройство Формат работы: офис в Москве или удаленно, в том числе не из РФ (зарплата в рублях) Заботу о комфорте: конкурентоспособная зарплата, расширенный соцпакет, гибкий график, современный офис, дополнительные программы и льготы. Участие в развитии AI/ML-стратегии и создании значимых продуктов, которые влияют на бизнес и отрасль в целом. Разнообразные задачи и технологические вызовы: от прикладного ML и NLP до масштабируемых платформенных решений и MLOps. Широкую зону ответственности и влияние: возможность предлагать идеи, экспериментировать, внедрять новые инструменты и подходы. Сильную команду экспертов: коллеги с глубокой экспертизой в Data Science, инженерии и архитектуре, готовые к совместной работе и обмену знаниями. Культуру поддержки и роста: регулярные обмены опытом, внутренние митапы, менторство, обучение и развитие от компании.",https://geekjob.ru/vacancy/67ff6fed3c74bbf29302b87b,4 июня,Сеньор • Тимлид/Руководитель группы,"['4+ года опыта в ML (NLP, Data Science, MLE), включая лидерство в команде от 3 человек', 'Практический опыт вывода в продакшн NLP/LLM решений и их последующей поддержки', 'Уверенное владение Python и опыт промышленной разработки', 'Знание SQL, Git, Docker; опыт командной разработки и CI/CD процессов', 'Умение разворачивать ML-модели в виде микросервисов', 'Опыт проектирования ML-систем под бизнес-задачи', 'Навыки эффективной коммуникации: умеете объяснять сложное простым языком, планировать эксперименты и взаимодействовать с бизнесом и разработкой']","['Разрабатывать ML-решения в задачах поиска, классификации, суммаризации, Q&A и диалоговых систем', 'Определять стратегию развития ML-функции и участвовать в её реализации на всех уровнях — от архитектуры до кода', 'Совместно с продактом формировать цели, приоритеты и направления работы', 'Управлять ML-командой: ставить задачи, планировать работу, контролировать сроки, проводить ревью', 'Проектировать архитектуру ML-систем и участвовать в код-ревью', 'Развивать инженерную культуру и подходы, основанные на данных, в команде и на стыке с другими функциями']","Дизайнер, художник",,
Senior Backend Engineers,Termius,Lisbon,Portugal,Работа в офисе,Офис,,,,,"['Python', 'RESTful APIs', 'AWS', 'GCP', 'Azure']","Описание вакансии Termius  is a modern SSH client built for collaboration and productivity. It organizes infrastructure knowledge and helps troubleshoot incidents quickly to reduce costly downtime. Today, our customers include over 30,000 companies, and millions of engineers use Termius to connect to their remote servers. While AI has transformed modern IDEs, a terminal stays the same inefficient technology since the 1970s. As a leading cross-platform SSH client, our mission is to boost productivity and foster collaboration by rebuilding the Terminal for the modern era. We are actively growing and seeking for a  Senior Backend Engineers  to complement our team and help us make Termius the primary work instrument for many engineers worldwide in their daily routines. Why Join Termius: Your contributions will directly influence the experience of millions of engineers and shape the future of system management tools. The speed and quality of decision-making depend on the accessibility of information. We aim for full transparency in all our actions. We share and ask for the candid feedback needed to become great. We build for system engineers and aim to make complex things feel simple and visually appealing. Be part of a culture that values proactiveness, a fail-fast-learn-fast approach, and a strong sense of ownership. Your work will include: Participation in the entire application development lifecycle. Collaboration between different departments: design, dev, QA across multiple time zones. Design, develop, and implement robust backend services using strong engineering principles. Collaborate with frontend engineers and product managers to translate user needs into technical solutions. Optimize existing systems for performance, reliability, scalability, and security. Participate in code reviews and ensure high code quality throughout the codebase. Automate tasks and implement CI/CD pipelines to streamline development workflows. Troubleshoot and debug complex backend issues. Stay up-to-date with the latest backend technologies and trends. Requirements: 5+ years of experience as a backend engineer. Strong proficiency in Python. Experience with relational databases (e.g., MySQL, PostgreSQL). Experience with building RESTful APIs. Experience with cloud platforms (e.g., AWS, GCP, Azure, Kubernetes). Experience with Docker. Solid understanding of system design principles (e.g., scalability, security). Experience with version control systems (e.g.,Git). Ability to work independently and as part of a cross-functional team. English skills (both written and verbal) Optional but welcomed skills: Experience with SSH protocol and network engineering. What do we offer: We provide employees with the necessary equipment to create a productive work environment. Longevity benefits: paid vacation, sick leaves, and flexible timeoff. A culture that encourages proactiveness, a fail-fast-learn-fast approach, and a sense of ownership. You can apply directly through our Lever form using this link:  https://jobs.lever.co/Termius/31b674d4-92a1-4526-a388-619b5dc43c35",https://geekjob.ru/vacancy/681b1f975941b251b80dab19,4 июня,Сеньор,"['5+ years of experience as a backend engineer', 'Strong proficiency in Python', 'Experience with relational databases (e.g., MySQL, PostgreSQL)', 'Experience with building RESTful APIs', 'Experience with cloud platforms (e.g., AWS, GCP, Azure, Kubernetes)', 'Experience with Docker', 'Solid understanding of system design principles (e.g., scalability, security)', 'Experience with version control systems (e.g., Git)', 'Ability to work independently and as part of a cross-functional team', 'English skills (both written and verbal)']","['Participation in the entire application development lifecycle', 'Collaboration between different departments: design, dev, QA across multiple time zones', 'Design, develop, and implement robust backend services using strong engineering principles', 'Collaborate with frontend engineers and product managers to translate user needs into technical solutions', 'Optimize existing systems for performance, reliability, scalability, and security', 'Participate in code reviews and ensure high code quality throughout the codebase', 'Automate tasks and implement CI/CD pipelines to streamline development workflows', 'Troubleshoot and debug complex backend issues', 'Stay up-to-date with the latest backend technologies and trends']","Программист, разработчик",,
разработчика C#,"ГК ""Робот Икс""",Калининград,РФ,Работа в офисе,Офис,70000.0,,,₽,"['C#', 'ASP.NET MVC', 'WebApi', 'SQL', 'Entity Framework']","Описание вакансии ГК ""Робот Икс""  – российский ИТ-интегратор, работающий на рынках России и СНГ уже более 16 лет. Аккредитованная в Минцифры ИТ- компания. Мы внедряем и обслуживаем сервисы - собственные ИТ-решения для бизнеса. Команда  Робот Икс  – это эксперты в своей области. Благодаря слаженной и профессиональной работе, наши проекты выполняются точно в срок и с высоким уровнем качества. Ищем в свою команду разработчика C# Требуемый опыт работы: 1-3 года Полная занятость, полный день Основная задача: Участие в разработке  нашего собственного решения - онлайн CRM система лояльности , которая внедряется в России и СНГ. Обязанности: • Разработка серверной части и API; • Поддержка программного обеспечения после релиза; • Работа в команде. Требования: • Понимание принципов ООП; • Знание языка программирования C#; • Знания принципа работы с ASP.NET MVC и WebApi; • Понимание работы с реляционными базами данных и знание SQL; • Знание работы с Entity Framework; • Знание технологий HTTP, REST API, JSON. Будет плюсом: • Знание JavaScript (jQuery), HTML, CSS • Умение работы с системами контроля версий (Git). Мы предлагаем: • Стабильность и комфортные условия работы • Удобный офис в центре города (ор-р ТЦ ""Плаза"") • Официальное оформление согласно ТК РФ • Работу в команде профессионалов, есть у кого учиться! • ЗП договорная в зависимости от опыта, обсуждается на собеседовании.",https://geekjob.ru/vacancy/6836bfd1969f00e9ed05669b,28 мая,Джуниор,"['Понимание принципов ООП', 'Знание языка программирования C#', 'Знания принципа работы с ASP.NET MVC и WebApi', 'Понимание работы с реляционными базами данных и знание SQL', 'Знание работы с Entity Framework', 'Знание технологий HTTP, REST API, JSON']","['Разработка серверной части и API', 'Поддержка программного обеспечения после релиза', 'Работа в команде']",Системный администратор,,
Старший системный администратор Linux (Middle/Senior),Деметра-Холдинг,Москва,Россия,Работа в офисе,Офис,250000.0,,,₽,"['Linux', 'Zabbix', 'Grafana', 'Ansible', 'Terraform']","Описание вакансии «Деметра-Холдинг»  — крупнейший в России инфраструктурный холдинг (элеваторы, логистика, цифровые проекты) Оформление в ""СИАМ"" - аккредитованную ИТ-компанию Холдинга.   Что будет в зоне твоей ответственности: Развертывание и администрирование Linux-серверов (RedHat, CentOS, Debian, Ubuntu) Администрирование систем мониторинга (Zabbix, Grafana, Prometheus, ELK Stack) Автоматизация рутинных задач (Ansible, Terraform, Bash/Python) Участие в инфраструктурных проектах - все новые сервисы по возможности разворачиваем на Linux Что мы предлагаем: Конкурентоспособная зарплата + годовая премия по результатам Оформление в  аккредитованную ИТ-компанию ДМС : в него входит большой перечень медицинских услуг, включая стоматологию и страховку для выезда за рубеж Софинансирование питания в офисе Офис в центре Москвы (БЦ ""Эрмитаж Плаза"") - современное оборудование, быстрый обмен знаниями Гибридный формат работы и гибкий график: начало дня с 09:00 до 10:00, возможность подстроить рабочий ритм Удаленные дни - для задач, требующих глубокой концентрации Кого мы ищем: Опыт от 3-х лет в администрировании Linux-серверов Навыки автоматизации (Bash/Python, Ansible, Terraform) Знание мониторинга (Zabbix, Grafana, ELK) и основ кибербезопасности Готовность к гибридному формату Откликайся на вакансию, будем рады познакомиться!",https://geekjob.ru/vacancy/6836b0eff5264fb40c03f822,28 мая,Миддл • Сеньор,"['Опыт от 3-х лет в администрировании Linux-серверов', 'Навыки автоматизации (Bash/Python, Ansible, Terraform)', 'Знание мониторинга (Zabbix, Grafana, ELK) и основ кибербезопасности', 'Готовность к гибридному формату']","['Развертывание и администрирование Linux-серверов (RedHat, CentOS, Debian, Ubuntu)', 'Администрирование систем мониторинга (Zabbix, Grafana, Prometheus, ELK Stack)', 'Автоматизация рутинных задач (Ansible, Terraform, Bash/Python)', 'Участие в инфраструктурных проектах']","Программист, разработчик",,
Системный аналитик,Zinit,Дубай,Объединенные Арабские Эмираты,Релокация • Удаленная работа,Удаленная работа,,,,USD,"['REST API', 'UML', 'BPMN', 'SQL', 'DevOps']","Описание вакансии Компания Zinit (https:// ZINIT.com/)- сервис автоматизации закупок.   Условия : - методология работы: scrum/waterfall; - локация: любая, вне РФ (+- 3 часа от часового пояса Мск); - свободное владение русским языком - обязательно (команда русскоязычная), свободный рабочий английский язык; - доход до 4 500 USD netto, обсуждается исходя из опыта кандидата; - оформление — официальный контракт с компанией в юрисдикции DIFC (Дубай), з/п на расчетный счет в банке ОАЭ     Функционал : Перевод бизнес-требований в технические спецификации и user stories. Описание функциональных и нефункциональных требований. Разработка схем интеграции компонентов системы, включая API и внешние сервисы. Построение моделей данных, процессов и взаимодействия системы с пользователями (UML, BPMN). Разработка требований для API (REST) и функциональности, в том числе связанной с применением нейронных сетей. Участие в проектировании пользовательских интерфейсов совместно с UX/UI-дизайнерами. Консультация команды разработчиков по функционалу, спецификациям и ограничениям системы. Тестирование готового функционала на соответствие требованиям. Участие в разработке требований к интеграции с другими внешними сервисами. Техническое описание API и схем обмена данными. Анализ и оценка влияния изменений на систему. Подготовка обновленных документов и спецификаций.   Требования : Знание основ проектирования веб-сервисов и REST API. Опыт работы с инструментами: Jira, Confluence, Swaggerили их аналогами. Знание языков моделирования (UML, BPMN) и умение создавать схемы процессов и архитектуры. Понимание архитектуры клиент-серверных и распределенных систем. Навыки анализа и построения моделей данных. Опыт работы с торговыми или тендерными платформами (желательно). Знания SQL и опыт работы с реляционными базами данных. Знание принципов DevOps, CI/CD и облачных технологий. Высокий уровень владения английским языком для взаимодействия с международной командой и заказчиками Удалённая работа с обязательным проживанием за пределами юрисдикции РФ.",https://geekjob.ru/vacancy/6836c5e557e068ada90f0898,28 мая,Сеньор,"['Знание основ проектирования веб-сервисов и REST API', 'Опыт работы с инструментами: Jira, Confluence, Swagger или их аналогами', 'Знание языков моделирования (UML, BPMN) и умение создавать схемы процессов и архитектуры', 'Понимание архитектуры клиент-серверных и распределенных систем', 'Навыки анализа и построения моделей данных', 'Опыт работы с торговыми или тендерными платформами (желательно)', 'Знания SQL и опыт работы с реляционными базами данных', 'Знание принципов DevOps, CI/CD и облачных технологий', 'Высокий уровень владения английским языком для взаимодействия с международной командой и заказчиками', 'Удалённая работа с обязательным проживанием за пределами юрисдикции РФ']","['Перевод бизнес-требований в технические спецификации и user stories', 'Описание функциональных и нефункциональных требований', 'Разработка схем интеграции компонентов системы, включая API и внешние сервисы', 'Построение моделей данных, процессов и взаимодействия системы с пользователями (UML, BPMN)', 'Разработка требований для API (REST) и функциональности, в том числе связанной с применением нейронных сетей', 'Участие в проектировании пользовательских интерфейсов совместно с UX/UI-дизайнерами', 'Консультация команды разработчиков по функционалу, спецификациям и ограничениям системы', 'Тестирование готового функционала на соответствие требованиям', 'Участие в разработке требований к интеграции с другими внешними сервисами', 'Техническое описание API и схем обмена данными', 'Анализ и оценка влияния изменений на систему', 'Подготовка обновленных документов и спецификаций']",DevOps-инженер,,
Backend Python junior+/middle,АЛТИОРА,Rostov-on-Don,Russia,Удаленная работа • Работа в офисе,Офис,,,,₽,"['FastAPI', 'Celery', 'RabbitMQ', 'Kafka', 'PostgreSQL']","Описание вакансии Backend Python junior+/middle  Классы задач с которыми можете нам помочь: * Написание серверной логики для обработки данных, валидации, выполнения операций и бизнес-правил. * Разработка backend (приложений и микросервисов) по заданным спецификациям * Участие в развитии продуктов: от обсуждения задач до запуска их в production.   Что мы ждем от кандидата: * Знание принципов ООП * Опыт работы с FastAPI и очередями сообщений (Celery/RabbitMQ & Kafka) * Знание SQL (PostgreSQL) * Опыт работы со стеком разработки Git · Docker · RabbitMQ · Redis · Linux * Практический опыт развертывания приложений * Способность к самостоятельной разработке",https://geekjob.ru/vacancy/6836b0eebc38a60fbe096113,28 мая,Джуниор • Миддл,"['Знание принципов ООП', 'Опыт работы с FastAPI и очередями сообщений (Celery/RabbitMQ & Kafka)', 'Знание SQL (PostgreSQL)', 'Опыт работы со стеком разработки Git, Docker, RabbitMQ, Redis, Linux', 'Практический опыт развертывания приложений', 'Способность к самостоятельной разработке']","['Написание серверной логики для обработки данных, валидации, выполнения операций и бизнес-правил', 'Разработка backend (приложений и микросервисов) по заданным спецификациям', 'Участие в развитии продуктов: от обсуждения задач до запуска их в production']",Системный аналитик,,
